portfolio_key,portfolio_name,atc4_raw,atc4_code,atc4_description,corporation_group,molecule_list,molecule_count,is_combo_molecule,has_sales,has_promo,has_finance,is_common_three_worlds
131,ATENOLOLO EG,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",STADA,ATENOLOL,1,False,False,True,False,False
132,BISOPROLOL STADA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",STADA,BISOPROLOL,1,False,False,True,False,False
133,BISOPROLOLO EG,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",STADA,BISOPROLOL,1,False,False,True,False,False
134,CARVEDILOLO EG,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",STADA,CARVEDILOL,1,False,False,True,False,False
135,METOPROLOLO EG,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",STADA,METOPROLOL,1,False,False,True,False,False
136,NEBIVOLOLO EG,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",STADA,NEBIVOLOL,1,False,False,True,False,False
137,ATENOLOL MUNDOGEN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SUN PHARMA,ATENOLOL,1,False,False,True,False,False
138,SELES BETA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEOFARMA,ATENOLOL,1,False,False,True,False,False
139,TRANDATE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEOFARMA,LABETALOL,1,False,False,True,False,False
140,ATENOLOL RATIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,ATENOLOL,1,False,False,True,False,False
141,ATENOLOLO RAT,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,ATENOLOL,1,False,False,True,False,False
142,BISOPROLOL RATIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,BISOPROLOL,1,False,False,True,False,False
